;Unnamed: 0;_id;aut;author_gender;created_at;full_text;id_str;in_reply_to_status_id;in_reply_to_tweet;in_reply_to_user_id;is_sexist;msg;person_1;person_2;receiver_gender;retweet_count;sentiment_1;sentiment_2;sexist_1;sexist_2;user_id
239;856;5a9c74630842190dbf50b48b;1;1;Thu Jan 25 10:34:11 +0000 2018;Pedir perdón @Rafa_Hernando , no es suficiente . Y lo sabes . https://t.co/kPGqeXOUbc;956475278603313153;;;;;mention;4.0;3.0;0;0;0;0;0;0;93691600
240;13436;5a9c74630842190dbf4fc354;1;1;Mon Jan 01 15:01:39 +0000 2018;@TeresaRodr_ Estamos agilipollando a la sociedad;947845278849290240;946695292329525248;;784574954.0;;reply;3.0;2.0;-1;1;0;0;0;0;2757368219
242;17138;5a9934310842191684e688f3;1;1;Sat Jan 06 15:13:39 +0000 2018;@Ruthypeich Cuando quieras te acompañamos @psicologiaexcel y yo... 😉;949660241075097600;949335967499988993;;286870353.0;;reply;3.0;4.0;-1;0;0;0;0;0;2476346557
243;10005;5a9934320842191684e76cc0;1;1;Thu Jan 25 09:10:44 +0000 2018;@FranciscoIgea ¿Has visto esto? Madre de dios, no sabía las mentiras, la corrupción y la inmundicia que esconde nuestro tan afamado modelo de trabsplantes https://t.co/hLFVeysFUn;956454279648342017;None;;493242970.0;;reply;2.0;1.0;0;0;0;0;0;0;2269357574
244;28134;5a9c74640842190dbf5243a6;1;1;Thu Feb 08 21:57:15 +0000 2018;@Ainhat Entreesto y su amiga veo el mismo nivel https://t.co/mxkM9jUpjj;961720607611260928;961613254660411392;;20929745.0;;reply;2.0;1.0;-1;0;0;0;0;0;902507793885925376
245;19282;5a9934350842191684e8b58a;1;-1;Sun Feb 11 17:03:54 +0000 2018;@lolamerino68 hola Lola!!!! Te veo activa, aquí estamos con nuestro colectivo, sacando cositas ricas!!!;962733946281910272;None;;305824911.0;;reply;2.0;3.0;-1;0;0;0;0;0;1308441194
246;1552;5a9934330842191684e7e52a;1;1;Thu Feb 08 16:52:56 +0000 2018;@emilio_delrio  https://t.co/8TMSZOWc89;961644022161969152;;;;;mention;4.0;2.0;0;0;0;0;0;0;904849909
247;21854;5a9934320842191684e70df2;1;1;Wed Jan 10 11:01:38 +0000 2018;"@anioramas Un verdadero referente, que en un momento en el que nadie hablaba de lejanía o insularidad supo poner esos conceptos sobre la mesa, creyendo que la ""España peninsular"" debía entender Canarias un poco mejor. DEP";951046369648807938;950847112845066240;;479394745;;reply;2.0;4.0;0;0;0;0;0;0;2561931761
248;20833;5a9c74630842190dbf510294;1;1;Wed Jan 24 12:47:54 +0000 2018;@msanglas Jo demanaria al @socialistes_cat i a tu @miqueliceta que dneu suport a que el Sr. Zoido ens expliqui pk ens van pegar el 1-O Ni a això heu estat capaços de donar suport! Et diria que anessis a la merda però encara estaries massa aprop. Sou uns miserables!!!;956146540644626432;955905479359811586;;266793262;;reply;2.0;4.0;0;0;0;0;0;0;1037473213
249;2399;5a9c74630842190dbf4fb9c4;1;-1;Sun Dec 31 09:31:27 +0000 2017;@nicadichiara Bueno, quizás es la mejor noticia.  Mejor que la incertidumbre. Respuestas.  Qué otras posibilidades había?;947399796230377472;;;;;mention;3.0;4.0;0;0;0;0;0;0;423702648
250;1625;5a9934340842191684e87091;1;1;Thu Feb 15 13:05:19 +0000 2018;Madrid da el primer paso para reconocer legalmente a las familias monoparentales. Bravo @Clara_Serra_ !! https://t.co/UzI8EQqt3v;964123457234591744;;;;;mention;4.0;3.0;0;0;0;0;0;0;1074445580
251;22054;5a9934330842191684e79bd1;1;-1;Wed Jan 24 07:21:21 +0000 2018;@Eva_Granados , no manipules. https://t.co/BEcNHhRayY;956064362216742914;None;;210607838;;reply;4.0;1.0;0;0;0;0;0;0;956441454
252;22786;5a9934350842191684e8c33a;1;1;Thu Feb 15 21:03:50 +0000 2018;@ierrejon @martaflich Sólo eso?.;964243878873321473;964229645800484864;;482389606.0;;reply;2.0;3.0;0;0;0;0;0;0;1531800732
253;21727;5a9934300842191684e62413;1;1;Fri Dec 15 08:43:53 +0000 2017;@Laenredadera ojalá te salga un hijo “facha” y lo asesine delante de tus morros un amigue te de los tuyos.basura;941589619426160640;None;;594735988.0;;reply;2.0;1.0;0;0;0;0;0;0;926557023130542087
254;60548;5a9c74650842190dbf532eb0;1;1;Fri Mar 02 09:19:25 +0000 2018;@JuanMa_Moreno @PPopular Más empleos y más pobres también estáis creando, solo sabéis vender humo;969502427773919232;969501976097624064;;278955879.0;;reply;4.0;3.0;0;0;0;0;0;0;121588857
255;26083;5a9934320842191684e71e77;1;1;Wed Jan 17 20:24:50 +0000 2018;@Albert_Rivera Madre mía. Que pena;953724816405815296;953682331130212353;;108994652;;reply;1.0;2.0;0;0;0;0;0;0;590807389
256;14818;5a9c74630842190dbf4fc8ba;1;1;Sat Dec 30 15:18:32 +0000 2017;@Migs_Bru Raro que no hayas visto nada en IU que son socios de Podemos. Vanagloriarse de la desinformación basado en un breve artículo es un riesgo;947124754695286786;947061066030346240;;275938934.0;;reply;1.0;4.0;1;0;0;0;0;0;2552487164
258;71806;5a9c74640842190dbf52c4ed;1;1;Sat Feb 24 20:33:04 +0000 2018;@marianorajoy Pero lo PEOR ERES TU SINVERGÜENZA;967497629025427456;967368985179316224;;343447873.0;;reply;1.0;4.0;1;0;0;0;0;0;861869711247773696
260;17003;5a9c74640842190dbf52182b;1;1;Fri Feb 09 07:33:46 +0000 2018;@bsemper Eeppppp después del cuponazo ahora os ponéis las manos a la cabeza.Dile a tu amigo Maillo que no que el PP no se mueve por encuestas;961865691270864897;961539432695455745;;1151557338.0;;reply;4.0;2.0;0;0;0;0;0;0;1061672701
262;5853;5a9934330842191684e7f5f7;1;-1;Wed Jan 31 23:45:59 +0000 2018;@juan_villoslada D.E.P;958848869244252161;;;;;mention;4.0;2.0;0;0;0;0;0;0;953547552338702336
263;21575;5a9c74640842190dbf522a07;0;1;Fri Feb 09 21:51:21 +0000 2018;@elenabastidasb @alfcastello Es un escrache...;962081509887889408;962050321290637312;;1567888128.0;;reply;4.0;3.0;-1;1;0;0;0;0;253469738
264;63557;5a9934360842191684e9392c;1;1;Sun Feb 18 20:46:06 +0000 2018;@manolomata denuncia el antivalencianismo del @ppcv y de @isabelbonig  https://t.co/qEFSaZRlgE;965326580980617219;None;;59842693.0;;reply;2.0;4.0;1;4;0;0;0;0;204405084
265;8803;5a9934340842191684e8017d;1;1;Thu Feb 08 13:26:51 +0000 2018;@GirautaOficial @jordi_canyas Es cualquier cosa , menos ejemplar;961592162134691841;961277609282850816;;2223841798.0;;reply;4.0;1.0;1;0;0;0;0;0;826911839393046529
266;26955;5a9c74640842190dbf51b3ed;1;1;Tue Feb 06 11:17:43 +0000 2018;@EquipoClavijo en @coalicion  es una renovación interna q se concreta en su personalidad: tímido pero firme, es un político q se reconoce en la gestión eficaz, q rehuye el aplauso fácil. Es más su forma de entender la política es una apuesta por el largo plazo, Vía @SomosCanarias https://t.co/wersoLHPvb;960834889653346304;None;;2985832967.0;;reply;1.0;2.0;1;2;0;0;0;0;46860718
267;1141;5a9c74630842190dbf502891;1;-1;Tue Jan 09 13:55:09 +0000 2018;@suma_cero totalmente de acuerdo, pero lo de ser pobre y sin oportunidades tiene que seguir significando algo en términos de clase, ¿no? Y lamentablemente suele ser una condición bastante fija.;950727646643703808;;;;;mention;1.0;2.0;0;2;0;0;0;0;1652719452
268;13255;5a9c74630842190dbf4fe550;1;1;Mon Jan 08 10:30:03 +0000 2018;@JuanMa_Moreno Juanma. Darte las gracias, por trabajar por todos los andaluces y serás el próximo Presidente de la Junta de Andalucía, a partir del   2019. Un saludo.;950313646491619329;950291424322433024;;278955879.0;;reply;1.0;2.0;0;0;0;0;0;0;912997373164519424
269;53388;5a9c74650842190dbf5312b8;1;-1;Sat Mar 03 23:53:28 +0000 2018;@jaimedeolano #8Myotrabajo https://t.co/SIaiUs9u6u;970084773837250560;970021917192318976;;1637483929.0;;reply;1.0;3.0;1;2;0;0;0;0;421229385
270;59919;5a9934360842191684e92af6;1;1;Sat Feb 24 10:49:29 +0000 2018;@lluis_llach Sí té nom: “Eme Punto Rajoy”!;967350765458255872;967129314268499969;;2794107508.0;;reply;2.0;1.0;0;0;0;0;0;0;2303909061
272;21582;5a9c74630842190dbf4f8f0a;1;-1;Fri Dec 15 08:59:39 +0000 2017;@ArturoAliaga_  recuerda algunos de los compromiso asumidos por PSOE-CHA q deberían reflejarse en el presupuesto. Por ejemplo, en dependencia, IAI, Renta básica, infraestructuras y tecnología sanitaria, plan de mejora de empleo, Fondo Innovación... #PlenoAragón https://t.co/RZc2GefN6k;941593584175853568;None;;3128438631.0;;reply;1.0;4.0;1;2;0;0;0;0;583693806
273;6791;5a9c74630842190dbf50cbba;1;1;Wed Jan 24 08:55:11 +0000 2018;En el programa de hoy entrevistaremos a @pepaluzardo, diputada y portavoz de Políticas Sociales y Cultura del Grupo Popular en el Parlamento de Canarias, a partir de las 11:15.Puedes seguir la entrevista en https://t.co/IPpJh3OCIp;956087976588693505;;;;;mention;2.0;1.0;0;0;0;0;0;0;339565229
274;8397;5a9c74630842190dbf5044e9;1;1;Sat Jan 13 22:37:44 +0000 2018;@chushueria La vergüenza..... el periodo más oscuro de los últimos 200 años de la historia española y que desembocó en una maldita guerra civil y una oscura dictaduta.   No. La II República española es para estudiarla, aprender de sus errores y no volver a cometerlos. Fue un desastre;952308710675828736;952141667678720001;;276196610;;reply;1.0;2.0;0;0;0;0;0;0;467662663
275;25887;5a9934330842191684e7aaca;1;-1;Thu Jan 18 07:39:27 +0000 2018;@anaponton no @GxDRadioGalega Precísase máis persoal e máis recursos na Sanidade Pública;953894590200852480;None;;83093494;;reply;1.0;3.0;0;0;0;0;0;0;968582364
276;4580;5a9934330842191684e7f0fe;1;1;Thu Feb 08 18:23:11 +0000 2018;"@carlesral Em sembla que el poble s'ha confós amb quin era el ""vot útil"" per a construir la República... Tot i així, no defallim. Prou de seguir les estratègies dels partits que només miren pels seus propis interessos. Sortim al carrer a defensar allò que vàrem votar l'1-O!";961666734846545920;;;;;mention;4.0;1.0;0;0;0;0;0;0;205681409
277;13622;5a9c74630842190dbf505952;1;1;Fri Jan 12 10:39:47 +0000 2018;@jsolerCs @elpuntavui Y vosotros tampoco la gobernareis;951765646697816064;951722143817064448;;350402862;;reply;1.0;2.0;0;0;0;0;0;0;148879197
279;1937;5a9c74640842190dbf515233;1;1;Thu Feb 08 18:42:47 +0000 2018;@agarzon Me tenían que haber cortado las manos cuando os voté;961671667574505472;;;;;mention;1.0;3.0;0;0;0;0;0;0;828173782636515328
281;72603;5a9c74640842190dbf52c80a;1;1;Sat Feb 24 15:48:35 +0000 2018;@DolorsMM El talento lo perdemos por lo bien que lo hacéis. Sois tan mezquinos y cortos que perdemos capital humano por vuestra culpa. Dimitir ya que sois lo peor. Los neandertales tenian más inteligencia que vosotros.;967426036689522688;965563737640927237;;283559538.0;;reply;2.0;3.0;0;0;0;0;0;0;1392623563
282;2758;5a9934300842191684e60abc;1;-1;Sun Dec 17 17:04:17 +0000 2017;@marifrangr los #monitoresenlucha  piden que en el año 2018 sea el año en que sea reconocida nuestra experiencia trabajando en los colegios andaluces y acabar con la discontinuidad.Seguimos luchando con nuestras voces y movilizandonos. Solución ya.;942440322772144128;;;;;mention;2.0;4.0;0;25;0;0;0;0;1166837803
283;15480;5a9c74630842190dbf506094;1;-1;Fri Jan 12 06:39:19 +0000 2018;@franferri_ Y si han cometido delitos, que los paguen judicialmente como todo hijo de vecino. Pedir perdón es un acto de educación, no te exime de ningún delito.;951705130625306624;951553814594834433;;84437338;;reply;3.0;1.0;0;0;0;0;0;0;3099482319
285;11765;5a9934320842191684e6e689;1;1;Wed Jan 17 17:09:47 +0000 2018;@lluis_llach Es que estàs a un atra país noia! Cuan te'n donaràs compte!;953675730512162816;953619464280576006;;2794107508;;reply;1.0;3.0;0;0;0;0;0;0;2767381655
286;1370;5a9934320842191684e74b05;1;1;Tue Jan 23 21:50:59 +0000 2018;#LaNoche24h Como .@luzseijo yo también creo que ningún docente nos dedicamos a adoctrinar a nadie. Nuestra labor es educar, no adoctrinar.;955920824598441985;;;;;mention;1.0;2.0;0;1;0;0;0;0;124180350
287;13402;5a9934320842191684e6ecee;1;1;Tue Jan 16 13:01:26 +0000 2018;@ferdeparamo i los de Matrix son los independentistas? Según tu matemáticamente hay opciones de que C’s tenga la presidencia del Parlament? No se como si la mayoría absoluta la tiene los independentistas. Dejad de engañar.;953250843268173825;None;;274663206;;reply;4.0;3.0;0;0;0;0;0;0;390140499
289;5389;5a9934310842191684e6cda1;1;-1;Wed Jan 17 12:48:05 +0000 2018;Gracias al empeño del PP y su veto, no se ha podido debatir en el congreso sobre las pensiones, un tema que afecta de manera muy seria a nuestros mayores y a todos los pensionistas. #4AñosPodemos @Yolanda_Diaz_ https://t.co/HHAql7d1KR;953609874180640768;;;;;mention;4.0;2.0;0;13;0;0;0;0;3257024090
290;4664;5a9934340842191684e87c70;1;-1;Wed Feb 07 17:12:06 +0000 2018;@leti_soria Correcto!!! #semehacelargo;961286459201413121;;;;;mention;2.0;3.0;0;0;0;0;0;0;3105979018
291;2912;5a9934340842191684e87598;1;-1;Thu Feb 08 10:23:54 +0000 2018;Un caso continuado en el tiempo de falta de ética profesional y de saqueo de las arcas públicas. Trabajazo de @MarianCampello https://t.co/n6eS9T6BOT;961546122434097153;;;;;mention;1.0;3.0;0;4;0;0;0;0;269891521
292;13731;5a9c74630842190dbf50e6d6;1;1;Sun Jan 21 18:45:27 +0000 2018;@Adrilastra Pues los socialistas trataron muy mal a esta mujer. Cuánto mal hecho a España, eh, Adriana. ¿Esto no es Memoria Histórica?;955149359645065218;756385404643860480;;200194757.0;;reply;1.0;3.0;0;0;0;0;0;0;952971637892231168
293;14237;5a9c74630842190dbf505bb9;1;1;Wed Jan 17 00:11:48 +0000 2018;@LluisRabell @talentodeescrit Això ho dius després de fotre't la fabada i fer-te tres pets o abans?;953419549604483075;953258835321421825;;1493355812;;reply;3.0;4.0;0;0;0;0;0;0;3502855455
294;15353;5a9c74630842190dbf4fcad1;1;1;Wed Dec 27 13:45:03 +0000 2017;@CsarZafra Por ello C's legítima gobiernos del PP en toda España,?;946014062730674176;946011353692758017;;1024001552.0;;reply;4.0;2.0;0;1;0;0;0;0;364360249
295;15286;5a9934330842191684e78161;1;1;Wed Jan 24 17:04:16 +0000 2018;@juanmalpr @PPopular SIIIIIIIIIIIIIIII;956211057898422274;955853714924990464;;19020032.0;;reply;3.0;1.0;0;0;0;0;0;0;814167065481375744
297;18757;5a9934350842191684e8b37d;1;1;Thu Feb 15 20:42:35 +0000 2018;@RomanRodWeb @parcan Lo último q tuve q oir en una tertulia por el representante de @coalicion es q esa tasa ya se cobraba a través del IGIC q paga el turista. Nivelazo!!;964238534398881794;964220435029282817;;236369842.0;;reply;4.0;1.0;0;2;0;0;0;0;276220623
298;22370;5a9934330842191684e79d0d;1;1;Thu Jan 25 10:01:44 +0000 2018;@jcoscu @elperiodico Anda coscu, Mirate las entrevistas enteras y deja de hacer el ridiculo;956467111907549184;956442674172751873;;278458079;;reply;4.0;3.0;0;2;0;0;0;0;921117878333722625
299;25267;5a9c74630842190dbf5086cf;1;1;Wed Jan 17 11:27:32 +0000 2018;@Adrilastra @sanchezcastejon Gracias por avisarlo. Mi dinero irá al colchón. Así, si cunde el ejemplo, cerrarán Bancos y al sobrar empleados se irán a Ferraz para que les den de comer porque Cáritas estará a tope.;953589601708466176;953309225920364544;;200194757;;reply;3.0;1.0;0;0;0;0;0;0;914497743632125953
300;6878;5a9934330842191684e7f9f8;1;1;Tue Feb 06 15:53:35 +0000 2018;.@cvelazquezromo exige que Page dé explicaciones sobre el escándalo de los médicos sin homologación y deje de precarizar el empleo en Sanidad.https://t.co/EXZJSVx6gi https://t.co/hbLyffEm0i;960904314326798337;;;;;mention;4.0;3.0;0;4;0;0;0;0;354781829
303;20923;5a9c74630842190dbf5102ee;1;-1;Wed Jan 17 10:09:43 +0000 2018;Quin mal que no hi siguin tots els diputats electes en constituir el #Parlament. Màxima prioritat: que tornin a casa i foragitar el 155 JA. Només depèn de la majoria parlamentària https://t.co/1xRTYpQ5Pu;953570018532487168;953569769571184640;;14335904;;reply;4.0;2.0;0;9;0;0;0;0;14335904
304;16239;5a9934340842191684e81e89;1;1;Wed Feb 07 21:32:24 +0000 2018;@susanadiaz no tomas nota de todos estos menesteres. Que gana tengo de que lleguen las elecciones. Ya te equivocaste con @sanchezcastejon, y ahora me da que os vais a equivovar los dos, sois todos iguales. Queremos #2hospitalescompletosgranada, y un #sasdignoya #Yeah. https://t.co/qFDheHQgh5;961351968378802177;None;;911000017.0;;reply;1.0;2.0;-1;0;0;0;0;0;2277632977
305;16447;5a9934310842191684e68640;1;1;Fri Jan 05 08:40:26 +0000 2018;@davidcsequeros Gracias @CiudadanosCs   #equiparacionYa #ILPJusapol #JuntosMejoryMásSeguros #JuntosxlaEquiparacion #EquiparacionPge2018 #equiparacionYa @Jusapol;949198896579928065;948903364666019840;;3944987597.0;;reply;3.0;2.0;1;1;0;0;0;0;937393569882607616
307;4338;5a9c74640842190dbf515b94;1;-1;Thu Feb 08 06:22:26 +0000 2018;@jcoscu Tú clarament t,has posicionat. Apa no perdis temps, q les portes no paren;961485352644038656;;;;;mention;3.0;2.0;0;0;0;0;0;0;946271245661818880
308;20457;5a9934340842191684e82f03;1;1;Thu Feb 08 18:40:53 +0000 2018;@lluis_llach I… una mica corrupte, si pot ser…;961671189763674114;961621421150568448;;2794107508.0;;reply;3.0;2.0;0;0;0;0;0;0;926776079716704256
309;14936;5a9934350842191684e8a490;1;1;Thu Feb 08 23:06:03 +0000 2018;@NUET @Realpolitik_rne Ja pot ser. També et recolzen a les verdes i a les madures;961737922520207362;961732853049458693;;17199998.0;;reply;4.0;1.0;0;0;0;0;0;0;2222413660
312;5917;5a9c74630842190dbf50c850;1;1;Mon Jan 15 17:46:32 +0000 2018;Hombre @albertjarabo, traidor es quien estafa a los ciudadanos no pagando los impuestos que le corresponden. Ejem: alquilar inmuebles, sin autorización del propietario, y esconder los ingresos al fisco. Es decir, lo que tú has hecho. https://t.co/tHQCejWMDk;952960206060834821;;;;;mention;2.0;1.0;0;20;0;0;0;0;217372236
313;8607;5a9934340842191684e88bd7;1;1;Thu Feb 15 21:13:56 +0000 2018;@JuanMa_Moreno  https://t.co/UUNjzOTbZr;964246422831943680;964217304300113920;;278955879.0;;reply;1.0;3.0;0;0;0;0;0;0;926893618836668416
314;35461;5a9c74650842190dbf530364;1;-1;Sat Mar 03 09:19:29 +0000 2018;@isabelbonig 😉😉😉😉;969864831347122176;;;;;mention;2.0;1.0;0;0;0;0;0;0;902487847436943360
315;14745;5a9934310842191684e67f9a;1;1;Wed Jan 03 19:40:27 +0000 2018;@EduardoFRub El caso es no dejar vivir en paz;948640218256691200;948489724443942912;;360612491.0;;reply;4.0;1.0;1;0;0;0;0;0;3472809141
316;8280;5a9c74630842190dbf50d18b;1;1;Thu Jan 18 08:38:41 +0000 2018;@QuintanillaCarm La parte palestina ya ha finiquitado los Acuerdos de Oslo que nunca cumplió. Hamas desea el exterminio de Israel, al igual que la Yihad Islámica, PFPLP, Hizbulah, etc, etc. ¿Que acuerdo cree usted que puede haber con quien desea rebanarte el cuello?;953909497432551424;953581973129388032;;2993922551.0;;reply;3.0;2.0;0;0;0;0;0;0;1395621271
317;13538;5a9934320842191684e6ed76;1;-1;Wed Jan 17 16:45:21 +0000 2018;"@sergiobarcelona ""Hoy facilitarán""?? Una mentira dicha 1000 veces no se convierte en verdad. Goebbels estaría orgulloso viendo como aplicas sus técnicas.";953669583587639296;953579275306889216;;144858381;;reply;1.0;2.0;0;0;0;0;0;0;3620436689
318;49184;5a9934350842191684e915fd;1;1;Thu Feb 15 10:54:47 +0000 2018;@PedroQuevedoIt A ver si es verdad...muchos confiamos en ustedes;964090608582348800;;;;;mention;3.0;1.0;0;0;0;0;0;0;3160721687
319;13239;5a9c74650842190dbf52f81c;1;-1;Fri Mar 02 13:33:38 +0000 2018;@Felisuco_ Si lo enfocamos de otra manera la comparación puede ser acertada. El soberanismo catalán es un verdadero cáncer.;969566401764773888;;;;;mention;4.0;1.0;0;0;0;0;0;0;783325969
320;23387;5a9c74630842190dbf507f77;1;1;Tue Jan 16 17:14:25 +0000 2018;"@jsalvadorduch Don Enrique Tierno Galán, al que supongo que usted no lo considerará también ""falangista"" decía que ""todo nacionalismo lleva en sí el germen del fascismo"". Y la xenofobia y el supremacismo son s;intomas bastante claros en Cataluña de por donde van muchos.";953314510873513984;952812491817570305;;326105216;;reply;2.0;4.0;0;0;0;0;0;0;910842654346399751
321;16410;5a9934310842191684e6636a;1;-1;Fri Dec 22 08:59:49 +0000 2017;@patxileuza Estas seguro que en Navarra no es mayoria, con UPN q es el socio incondicional, servil y rastrero del PP, no crees q UPN es su filial?;944130344353230848;943964109481050116;;118692114.0;;reply;4.0;1.0;0;0;0;0;0;0;4091016405
323;25417;5a9c74630842190dbf51147c;1;1;Sun Jan 21 14:44:58 +0000 2018;@temtem23 @Farodevigo Prietas las filas e impasible el ademán......que quién se mueva no sale en la foto. Arrimando el hombro no sea que se desmonte el tinglado y se acabe el maná.;955088839936303104;954780805087277057;;152770671;;reply;4.0;2.0;0;0;0;0;0;0;1241864017
324;18140;5a9934350842191684e8b114;1;-1;Wed Feb 07 12:49:32 +0000 2018;Tamén acadamos acordo para:b) ampliar as frecuencias, tamén do rexional e poboacións intermediasc) reformular os bonos de transporte para que se poidan usar en +tempo e sexan realmente unha opción para reducir custos;961220383851544577;961220094469791744;;383194797.0;;reply;4.0;3.0;-1;6;0;0;0;0;383194797
325;1873;5a9c74630842190dbf4fb94d;1;-1;Fri Dec 22 22:11:22 +0000 2017;@alicia_mm Feliz Navidad;944329542428225536;;;;;mention;3.0;2.0;0;0;0;0;0;0;467687016
326;61866;5a9c74650842190dbf5333d6;1;1;Fri Mar 02 12:08:42 +0000 2018;@RamonEspinar  https://t.co/J9zYVVZxQu;969545027407015937;723085182857785344;;394266186.0;;reply;2.0;4.0;0;0;0;0;0;0;2714260931
327;18715;5a9c74640842190dbf521edb;1;1;Sun Feb 11 20:17:01 +0000 2018;@AustraliaPP https://t.co/twmWnsHHUF;962782546420486144;962761291898159104;;870305642.0;;reply;2.0;4.0;-1;0;0;0;0;0;114291978
328;26200;5a9934340842191684e84572;1;-1;Tue Feb 06 14:40:07 +0000 2018;@LucaChao_ E non só iso, senón que caso arquivado #mundodemierda;960885822210887683;960812025566957568;;427642407.0;;reply;1.0;2.0;1;1;0;0;0;0;729008030956830720
329;12849;5a9c74640842190dbf526e0a;1;-1;Fri Feb 23 11:22:02 +0000 2018;Un minut d silenci, dos cops x setmana, setmana rera setmana, davant la DG Joventut, en protesta per la repressio q practica l'EE i per exigir #LlibertatPresosPolítics #FreeJunqueras, amb @raulromeva https://t.co/iFzLVIvLc8;966996569512972288;;;;;mention;3.0;2.0;0;21;0;0;0;0;2556327074
330;56732;5a9c74640842190dbf528a0b;1;1;Fri Feb 23 19:30:25 +0000 2018;@GLlamazares Si, seguro q es justo por eso...;967119472350908416;967073371480625152;;301388743.0;;reply;3.0;1.0;1;0;0;0;0;0;1020572851
331;21046;5a9c74640842190dbf519cd8;1;1;Thu Feb 08 10:49:28 +0000 2018;@martarovira si no investim al nostre MHP @KRLS tota aquesta lluita no haurà servit de res. I si fem una altra cosa que no sigui investir-lo tampoc garanteix ni l'alliberament de ningú i ni molt menys la repressió i les causes judicials. es per això que ho hem de fer.;961552556244721665;961549991406907392;;14336062.0;;reply;1.0;4.0;-1;0;0;0;0;0;914881507172470784
332;13488;5a9934340842191684e813ca;1;1;Sat Feb 03 18:51:31 +0000 2018;@BeatrizEscu @cultrun Usualmente la corrupción en España florece en lo que muchos políticos quieren aumentar y controlar.;959861928163192832;959849005634158599;;194070172.0;;reply;3.0;2.0;-1;0;0;0;0;0;236524587
334;25175;5a9c74640842190dbf51acf9;1;-1;Fri Feb 02 05:43:27 +0000 2018;@rafaela_romero Buses y camiones sentido vitoria parados en Arrigorriaga cuando yo pasé. #NieveVG;959301214973210625;959300630689886208;;248863401.0;;reply;3.0;4.0;-1;0;0;0;0;0;6367072
336;16933;5a9934330842191684e787d0;1;1;Wed Jan 24 14:26:25 +0000 2018;@MalvarezNadia Perdona @MalvarezNadia así nos sentimos todos los Españoles esperando que alguien de tu partido asuma la responsabilidad política y que devolvais lo saqueado.;956171332655468544;956092439130984448;;2224246665.0;;reply;3.0;1.0;0;0;0;0;0;0;1598294120
337;55962;5a9c74650842190dbf531cc6;1;-1;Sun Mar 04 10:26:59 +0000 2018;@marianorajoy @PPopular Eficaz 🤣🤣🤣🤣🤣honestidad 😂😂😂😂😂😂😂😂😂!! Me parto;970244205867159552;969921921549766656;;343447873.0;;reply;4.0;1.0;1;0;0;0;0;0;2828188269
338;25867;5a9934320842191684e71d9f;1;1;Wed Jan 17 20:57:17 +0000 2018;@Pablo_Iglesias_ Debemos seguir con lo importante para el pais España y su Desgobierno con Corrupcion Institucionalizada y trampas.Basta YA NO a la Dictadura;953732982896037890;953382452931846145;;158342368;;reply;3.0;4.0;0;0;0;0;0;0;906243502471819264
339;17979;5a9c74630842190dbf50f76e;1;-1;Tue Jan 23 16:17:42 +0000 2018;@BeatrizGimeno1 Ya lo hablamos... si es que ....;955836950153441281;955834257703923712;;315119037.0;;reply;3.0;4.0;0;0;0;0;0;0;278029684
342;6424;5a9c74630842190dbf50ca4b;1;1;Wed Jan 17 22:34:50 +0000 2018;@danielventurari Pero quienes se han creído que son? Tienen bula hasta para manipular el descanso e intimidad de los menores? No les preocupan en absoluto.;953757534028001280;;;;;mention;3.0;2.0;0;15;0;0;0;0;274008249
343;13987;5a9934340842191684e815bd;1;1;Tue Jan 30 14:28:10 +0000 2018;@emilio_delrio  #VerbaVolant La respuesta correcta es, “Ars longa, vita brevis”. Saludos desde Terrassa(Barcelona);958346102427799552;None;;168447928.0;;reply;3.0;4.0;1;0;0;0;0;0;2865903245
344;25165;5a9c74640842190dbf51acef;1;1;Tue Feb 06 23:03:41 +0000 2018;@JoseanPastor Gracias por la aclaración 😊;961012549704732673;961011904847269888;;534249741.0;;reply;4.0;2.0;0;0;0;0;0;0;730312429
345;17051;5a9c74630842190dbf4ff424;1;1;Fri Jan 05 09:00:55 +0000 2018;@komaur Leyendo las últimas declaraciones que vienen haciendo desde que se firmó el Convenio, y tirando de hemeroteca, diría que las declaraciones que hacen cada día las eligen así: https://t.co/hTEB0IGJ95;949204048464539649;949178094547558401;;283716341.0;;reply;1.0;3.0;0;3;0;0;0;0;272387422
346;26229;5a9c74630842190dbf508a91;1;-1;Wed Jan 17 12:55:19 +0000 2018;@Sorayapp @KRLS El MHP srPuigdemont l 'hem votat i no pot governar desde Brussel·les En canvi si que ens poden governar desde Madridamb el 155. Es intolerable;953611693191585792;952872412630212608;;76914701;;reply;1.0;3.0;0;0;0;0;0;0;919269726508994561
347;19315;5a9c74630842190dbf50fca6;1;-1;Mon Jan 22 11:21:31 +0000 2018;@montsecandini @KRLS Això es persecució, i que diguin el que vulguin 🎗😏;955400024623603712;955354498402316289;;185266906.0;;reply;2.0;3.0;0;0;0;0;0;0;119703969
348;16060;5a9c74630842190dbf50efef;1;1;Sat Jan 20 07:42:24 +0000 2018;@MailloAntonio Por estar de acuerdo con esto. He sido contrario al proceso independentista que lo lideraban las derechas. Las izquierdas quieren la unión de los trabajadores y no la separación.;954620108508422145;953231860645154816;;464542552.0;;reply;2.0;3.0;0;0;0;0;0;0;1657232281
